log distance [m];gridzone;easting [m];northing [m];height [m];event / comment;J. no.;J. len [m];t [mm];to u/s w. [m];o'clock;depth [%];ERF;length [mm];width [mm];internal
45949;22;634239.7888;7605546.284;481.9939;GirthWeld;37970;12.27;11.45;;;;;;;
45961.28;22;634251.9253;7605544.465;482.1423;GirthWeld;37980;12.37;11.45;;;;;;;
45973.65;22;634264.1571;7605542.63;482.3303;GirthWeld;37990;12.33;11.45;;;;;;;
45985.98;22;634276.3519;7605540.827;482.5329;GirthWeld;38000;12.38;11.45;;;;;;;
45998.36;22;634288.603;7605539.075;482.7064;GirthWeld;38010;12.35;11.45;;;;;;;
46010.71;22;634300.8325;7605537.37;482.8897;GirthWeld;38020;12.24;11.45;;;;;;;
46022.94;22;634312.9474;7605535.676;483.1453;GirthWeld;38030;11.86;11.45;;;;;;;
46034.8;22;634324.6783;7605533.965;483.3752;GirthWeld;38040;12.36;11.45;;;;;;;
46047.17;22;634336.9084;7605532.172;483.6322;GirthWeld;38050;12.08;11.45;;;;;;;
46059.24;22;634348.8602;7605530.45;483.8527;GirthWeld;38060;11.86;11.45;;;;;;;
46071.1;22;634360.6011;7605528.794;483.9886;GirthWeld;38070;12.35;11.45;;;;;;;
46083.45;22;634372.8228;7605527.073;484.2094;GirthWeld;38080;12.33;11.45;;;;;;;
46095.78;22;634385.0341;7605525.368;484.5171;GirthWeld;38090;12.29;11.45;;;;;;;
46108.07;22;634397.1965;7605523.654;484.7819;GirthWeld;38100;12.33;11.45;;;;;;;
46120.4;22;634409.4039;7605521.928;484.9575;GirthWeld;38110;12.26;11.45;;;;;;;
46132.66;22;634421.5382;7605520.205;485.2392;GirthWeld;38120;12.3;11.45;;;;;;;
46144.96;22;634433.7104;7605518.462;485.6508;GirthWeld;38130;11.79;11.45;;;;;;;
46156.75;22;634445.377;7605516.796;485.9389;GirthWeld;38140;12.36;11.45;;;;;;;
46169.11;22;634457.6052;7605515.048;486.2051;GirthWeld;38150;12.32;11.45;;;;;;;
46181.42;22;634469.7852;7605513.243;486.5037;GirthWeld;38160;12.29;11.45;;;;;;;
46193.71;22;634481.94;7605511.459;486.737;GirthWeld;38170;12.18;11.45;;;;;;;
46205.89;22;634493.9966;7605509.745;486.9891;GirthWeld;38180;12.26;11.45;;;;;;;
46218.15;22;634506.127;7605508.009;487.207;GirthWeld;38190;12.06;11.45;;;;;;;
46230.21;22;634518.0727;7605506.357;487.2193;GirthWeld;38200;12.33;11.45;;;;;;;
46242.54;22;634530.2914;7605504.681;487.31;GirthWeld;38210;12.29;11.45;;;;;;;
