log dist. [m];gridzone;easting [m];northing [m];heighting [m];event / comment;J. no.;J. len [m];t [mm];to u/s w. [m];o'clock;depth [%];ERF;length [mm];width [mm];internal
30751.94;22;620998.602;7612050.869;457.5034;Girth Weld;25390;12.36;11.45;;;;;;;
30764.3;22;621010.3133;7612046.951;457.7321;Girth Weld;25400;12.32;11.45;;;;;;;
30776.62;22;621021.9932;7612043.069;458.025;Girth Weld;25410;12.35;11.45;;;;;;;
30788.97;22;621033.7128;7612039.206;458.2867;Girth Weld;25420;12.33;11.45;;;;;;;
30801.3;22;621045.3963;7612035.299;458.464;Girth Weld;25430;12.25;11.45;;;;;;;
30813.55;22;621057.0029;7612031.396;458.6454;Girth Weld;25440;12.35;11.45;;;;;;;
30825.9;22;621068.6961;7612027.439;458.8597;Girth Weld;25450;12.33;11.45;;;;;;;
30838.23;22;621080.3602;7612023.486;459.1186;Girth Weld;25460;12.37;11.45;;;;;;;
30850.6;22;621092.082;7612019.562;459.3234;Girth Weld;25470;12.33;11.45;;;;;;;
30862.93;22;621103.7673;7612015.645;459.4782;Girth Weld;25480;12.35;11.45;;;;;;;
30875.29;22;621115.4666;7612011.706;459.6407;Girth Weld;25490;12.2;11.45;;;;;;;
30887.49;22;621127.0247;7612007.818;459.7969;Girth Weld;25500;12.32;11.45;;;;;;;
30899.81;22;621138.6924;7612003.879;460.0154;Girth Weld;25510;12.33;11.45;;;;;;;
30912.14;22;621150.3642;7611999.934;460.1648;Girth Weld;25520;12.21;11.45;;;;;;;
30924.35;22;621161.9213;7611996.025;460.2649;Girth Weld;25530;12.33;11.45;;;;;;;
30936.68;22;621173.6045;7611992.112;460.3917;Girth Weld;25540;12.29;11.45;;;;;;;
30948.97;22;621185.2663;7611988.268;460.5095;Girth Weld;25550;12.29;11.45;;;;;;;
30961.26;22;621196.9403;7611984.451;460.5813;Girth Weld;25560;12.34;11.45;;;;;;;
30973.6;22;621208.6556;7611980.597;460.7065;Girth Weld;25570;12.31;11.45;;;;;;;
30985.91;22;621220.2751;7611976.563;460.8171;Girth Weld;25580;12.18;11.45;;;;;;;
